zone_id,zone_code
298,2213
299,2214
300,2215
301,2216
302,2217
303,2218
304,2219
305,2220
306,2221
307,2222
308,2223
309,2224
310,2225
311,2226
312,2227
313,2228
314,2229
315,2230
316,2231
317,2232
318,2233
319,2234
320,2235
321,2236
322,2237
323,2238
324,2239
325,2240
326,2301
327,2302
328,2303
329,2304
330,2305
331,2306
332,2307
333,2308
334,2309
335,2310
336,2311
337,2312
338,2313
339,2314
340,2315
341,2316
342,2317
343,2401
344,2402
345,2403
346,2404
347,2405
348,2406
349,2407
350,2408
351,2409
352,2410
353,2411
354,2412
355,2413
356,2414
357,2415
358,2416
359,2417
360,2418
361,2419
362,2420
363,2421
364,2422
365,2423
366,2424
367,2425
368,2426
369,2427
370,2428
371,2429
372,2430
373,2431
374,2432
375,2433
376,2434
377,2435
378,2436
379,2437
380,2438
381,2439
382,2440
383,2441
384,2442
385,2443
386,2444
387,2445
388,2446
389,2447
390,2448
391,2449
392,2450
393,2451
394,2452
395,2453
396,2454
397,2455
398,2456
399,2457
400,2458
401,2501
402,2502
403,2503
404,2504
405,2505
406,2506
407,2507
408,2508
409,2509
410,2510
411,2511
412,2601
413,2602
414,2603
415,2604
416,2605
417,2606
418,2607
419,2608
420,2609
421,2610
422,2611
423,2613
424,2614
425,2615
426,2616
427,2618
428,2701
429,2702
430,2703
431,2704
432,2801
433,2806
434,2807
435,2808
436,2809
437,2810
438,2811
439,2812
440,2813
441,2814
442,2815
443,2816
444,2817
445,2818
446,2819
447,2820
448,2821
449,2822
450,2823
451,2824
452,2825
453,2826
454,2827
455,2828
456,2829
457,2830
458,2831
459,2832
460,2833
461,2834
462,2835
463,2836
464,2837
465,2838
466,2839
467,2840
468,2841
469,2842
470,2843
471,2844
472,2845
473,2846
474,2847
475,2848
476,2849
477,2850
478,2851
479,2852
480,2853
481,2854
482,2855
483,2856
484,2857
485,2858
486,2859
487,2860
488,2861
489,2862
490,2863
491,2864
492,2865
493,2866
494,2867
495,2868
496,2869
497,2870
498,2871
499,2872
500,2873
501,2874
502,2901
503,2902
504,2903
505,2904
506,2905
507,2906
508,2907
509,2908
510,2909
511,2910
512,2911
513,2912
514,2913
515,2914
516,2915
517,2916
518,2917
519,2918
520,2919
521,2920
522,2921
523,2922
524,2923
525,2924
526,2925
527,2926
528,2927
529,2928
530,2929
531,2930
532,2931
533,2932
534,2933
535,2934
536,2935
537,2936
538,2937
539,2938
540,2940
541,2941
542,2943
543,3001
544,3003
545,3005
546,3006
547,3007
548,3008
549,3009
550,3010
551,3011
552,3012
553,3013
554,3014
555,3015
556,3016
557,3017
558,3018
559,3019
560,3020
561,3021
562,3022
563,3023
564,3025
565,3026
566,3027
567,3028
568,3029
569,3030
570,3101
571,3102
572,3103
573,3104
574,3106
575,3107
576,3108
577,3109
578,3110
579,3111
580,3112
581,3113
582,3114
583,3115
584,3116
585,3117
586,3118
587,3119
588,3120
589,3121
590,3122
591,3123
592,3124
593,3125
594,3126
595,3127
596,3128
597,3129
598,3130
599,3131
600,3132
601,3133
602,3134
603,3135
604,3136
605,3137
606,3201
607,3202
608,3203
609,3204
610,3205
611,3301
612,3302
613,3303
614,3304
615,3305
616,3306
617,3307
618,3308
619,3309
620,3310
621,3311
622,3312
623,3313
624,3314
625,3315
626,3316
627,3317
628,3318
629,3319
630,3320
631,3324
632,4002
633,4003
634,4004
635,4005
636,4007
637,4008
638,4009
639,4010
640,4012
641,4013
642,4015
643,4016
644,4017
645,4018
646,4019
647,4020
648,4021
649,4022
650,4023
651,4024
652,4025
653,4026
654,4027
655,4028
656,4029
657,4030
658,4031
659,4032
660,4033
661,4034
662,4035
663,4036
664,4037
665,4038
666,4039
667,4040
668,4041
669,4042
670,4043
671,4044
672,4045
673,4046
674,4047
675,4048
676,4049
677,4050
678,4051
679,4052
680,4053
681,4054
682,4055
683,4056
684,4057
685,4058
686,4059
687,4060
688,4061
689,4062
690,4063
691,4064
