Fuel type,Engine capacity,Standart,COLD,%Taxi,% CAR,70-Motorway - City- Freeflow,80-Motorway - City- Freeflow,90-Motorway - City- Freeflow,70-Motorway - City-Heavy,80-Motorway - City-Heavy,90-Motorway - City-Heavy,70-Motorway - City- Stop & Go,80-Motorway - City- Stop & Go,90-Motorway - City- Stop & Go,50-Distributor / Secondary- Freeflow,60-Distributor / Secondary- Freeflow,70-Distributor / Secondary- Freeflow,50-Distributor / Secondary- Heavy,60-Distributor / Secondary- Heavy,70-Distributor / Secondary- Heavy,50-Distributor / Secondary- Stop & Go,60-Distributor / Secondary- Stop & Go,70-Distributor / Secondary- Stop & Go,30-Access Residential-Freeflow,40-Access Residential-Freeflow,50-Access Residential-Freeflow,30-Access Residential-Heavy,40-Access Residential-Heavy,50-Access Residential-Heavy,30-Access Residential- Stop & Go,40-Access Residential- Stop & Go,50-Access Residential- Stop & Go,90- National- Freeflow,100- National- Freeflow,110- National- Freeflow,90- National- Heavy,100- National- Heavy,110- National- Heavy,90- National- Stop & Go,100- National- Stop & Go,110- National- Stop & Go
LPG,<1400 cc,Euro 1,0,0,0,125.32,136.56,146.97,151.78,132.81,139.3,339.84,267.66,267.66,168.68,155.63,146.3,172.92,172.55,161.97,339.84,339.84,283.23,213.4,171.99,161.77,211.66,187.46,195.41,339.84,339.84,339.84,141.56,148.01,168.63,138.03,146.79,155.03,267.66,267.66,267.66
LPG,<1400 cc,Euro 2,0,0,0,125.32,136.56,146.97,151.78,132.81,139.3,339.84,267.66,267.66,168.68,155.63,146.3,172.92,172.55,161.97,339.84,339.84,283.23,213.4,171.99,161.77,211.66,187.46,195.41,339.84,339.84,339.84,141.56,148.01,168.63,138.03,146.79,155.03,267.66,267.66,267.66
LPG,<1400 cc,Euro 3,0,0,0,117.97,128.56,138.35,142.88,125.02,131.13,319.92,251.96,251.96,158.79,146.51,137.72,162.79,162.43,152.48,319.92,319.92,266.62,200.89,161.91,152.28,199.25,176.47,183.95,319.92,319.92,319.92,133.26,139.33,158.74,129.94,138.19,145.94,251.96,251.96,251.96
LPG,<1400 cc,Euro 4,0,0,0.0001,109.54,119.37,128.46,132.67,116.08,121.76,297.05,233.95,233.95,147.44,136.04,127.87,151.15,150.82,141.58,297.05,297.05,247.56,186.53,150.33,141.4,185.01,163.86,170.8,297.05,297.05,297.05,123.74,129.37,147.39,120.65,128.31,135.51,233.95,233.95,233.95
LPG,<1400 cc,Euro 5,0,0,0.0002,105.48,114.94,123.7,127.75,111.78,117.24,286.03,225.28,225.28,141.98,130.99,123.13,145.54,145.23,136.33,286.03,286.03,238.38,179.61,144.76,136.16,178.15,157.78,164.47,286.03,286.03,286.03,119.15,124.57,141.93,116.17,123.55,130.48,225.28,225.28,225.28
LPG,<1400 cc,Euro 6,0,0,0.0001,100.24,109.24,117.56,121.41,106.23,111.42,271.84,214.1,214.1,134.93,124.49,117.02,138.32,138.02,129.56,271.84,271.84,226.55,170.7,137.58,129.4,169.31,149.95,156.31,271.84,271.84,271.84,113.24,118.39,134.89,110.41,117.42,124.01,214.1,214.1,214.1
LPG,1400-2000 cc,Euro 1,0,0,0,125.32,136.56,146.97,151.78,132.81,139.3,339.84,267.66,267.66,168.68,155.63,146.3,172.92,172.55,161.97,339.84,339.84,283.23,213.4,171.99,161.77,211.66,187.46,195.41,339.84,339.84,339.84,141.56,148.01,168.63,138.03,146.79,155.03,267.66,267.66,267.66
LPG,1400-2000 cc,Euro 2,0,0,0,125.32,136.56,146.97,151.78,132.81,139.3,339.84,267.66,267.66,168.68,155.63,146.3,172.92,172.55,161.97,339.84,339.84,283.23,213.4,171.99,161.77,211.66,187.46,195.41,339.84,339.84,339.84,141.56,148.01,168.63,138.03,146.79,155.03,267.66,267.66,267.66
LPG,1400-2000 cc,Euro 3,0,0,0.0002,117.97,128.56,138.35,142.88,125.02,131.13,319.92,251.96,251.96,158.79,146.51,137.72,162.79,162.43,152.48,319.92,319.92,266.62,200.89,161.91,152.28,199.25,176.47,183.95,319.92,319.92,319.92,133.26,139.33,158.74,129.94,138.19,145.94,251.96,251.96,251.96
LPG,1400-2000 cc,Euro 4,0,0,0.0012,109.54,119.37,128.46,132.67,116.08,121.76,297.05,233.95,233.95,147.44,136.04,127.87,151.15,150.82,141.58,297.05,297.05,247.56,186.53,150.33,141.4,185.01,163.86,170.8,297.05,297.05,297.05,123.74,129.37,147.39,120.65,128.31,135.51,233.95,233.95,233.95
LPG,1400-2000 cc,Euro 5,0,0.0003,0.001,105.48,114.94,123.7,127.75,111.78,117.24,286.03,225.28,225.28,141.98,130.99,123.13,145.54,145.23,136.33,286.03,286.03,238.38,179.61,144.76,136.16,178.15,157.78,164.47,286.03,286.03,286.03,119.15,124.57,141.93,116.17,123.55,130.48,225.28,225.28,225.28
